TYO,SubjectID,Seed,Room,Date,ExpInitials,Compliance,Notes
TYO_v1,TYO_101,101,Jerry,10/21/13,BOR,4,Subject nodded off a bit
TYO_v1,TYO_102,102,Elaine,10/21/13,BOR,4,Subject nodded off a bit
TYO_v1,TYO_103,103,George,10/21/13,BOR,5,
TYO_v1,TYO_104,104,Kramer,10/21/13,BOR,5,
TYO_v1,TYO_105,105,Jerry,10/21/13,BOR,4,Subject nodded off a bit
TYO_v1,TYO_106,106,Elaine,10/21/13,BOR,5,
TYO_v1,TYO_107,107,George,10/21/13,BOR,4,Subject nodded off a bit
TYO_v1,TYO_108,108,Kramer,10/21/13,BOR,4,"Subject nodded off a bit, must be the weather!!"
TYO_v1,TYO_109,109,Kramer,10/21/13,BOR,5,
TYO_v1,TYO_110,110,George,10/21/13,BOR,5,
TYO_v1,TYO_111,111,Jerry,10/21/13,BOR,5,
TYO_v1,TYO_112,112,Elaine,10/21/13,BOR,5,
TYO_v1,TYO_113,113,George,10/21/13,BOR,4,Subject nodded off a bit
TYO_v1,TYO_114,114,Elaine,10/29/13,BOR,5,
TYO_v1,TYO_115,115,Jerry,10/23/13,BOR,3,Was on phone. Argh
TYO_v1,TYO_116,116,Kramer,11/14/13,HW,5,
TYO_v1,TYO_117,117,George,11/14/13,HW,5,
TYO_v1,TYO_118,118,Elaine,11/14/13,HW,5,
TYO_v1,TYO_119,119,Jerry,11/14/13,HW,4,falling asleep
TYO_v1,TYO_120,120,Kramer,11/14/13,HW,5,
TYO_v1,TYO_121,121,George,11/14/13,HW,5,
TYO_v1,TYO_122,122,Elaine,11/14/13,HW,5,
TYO_v1,TYO_123,123,Jerry,11/14/13,HW,5,
TYO_v1,TYO_124,124,Kramer,11/14/13,HW,5,
