Timestamp,Subject Number,Room,Age:,Gender:,Would you have benefited from better instruction or more practice trials?,"If you had to guess, what do you think the experimenters expect to discover from this experiment?",Did you find the word or sound trials easier?,How difficult do you feel the experiment was?,Did you think the pictures were better matched to the words or to the sounds?,"Describe a trial you thought was very easy. For example: ""I heard _____ and saw _____."" ","Describe a trial you thought was very hard. For example: ""I heard _____ and saw _____."" ","If you had to guess, do you think your answers will support the experimenters' expectations?",How would you rate your overall hearing ability?,Is English your first language?,Are you left or right hand dominant?,"Which languages, if any, do you speak other than English? ",Optional: Please give the experimenters some anonymous feedback about the experiment.
1/23/13 14:13,TYP1_101,Kramer,18,Female,"No, I did as well as I could.",That people react quicker and recognize an object faster to familiar sounds rather than naming an object,"Sound. It made me picture it in my head, hearing the words made me think about the word and then put a picture to it. Doing that made me take longer",1,The words. Scissors don't sound like that.. But the Shears were also not scissors ,I heard the buzz and knew it was bees,The cutting of the paper from the scissors and saw the scissors but didn't picture scissors making that sound ,If what I guessed in the question above is right then I think my answers will support that,3,Yes,Right,None,Scissors and Shears are different haha
1/23/13 14:14,TYP1_102,George,22,Male,"No, I did as well as I could.",if it is easier to determine what a picture is (in terms of reaction time) based on a sound of the picture or if the word is being said that the picture is of,"sound, it was easier to relate a sound to the picture than the same voice saying a different word for a certain picture",1,"words,  The sounds for the bee and the chainsaw were eerily similar and it was a little harder to differentiate the two",bowling alley pins flying with the bowling ball picture,"the word ""bird"" and the picture of the single bee",yes I think that they will,2,Yes,Right,somewhat fluent in spanish,
1/23/13 14:32,TYP1_103,Elaine,18,Female,"No, I did as well as I could.","Maybe to see if the person allows their brain to think of what the answer is before their finger presses the green or red button. Sometimes you just get ahead of yourself and press the wrong button even though you could have easily gotten the right answer had to took one more second to think. Also maybe they are looking at how long of breaks you take, to see if a longer break helps to improve your score or not?","The words were easier, because it is the exact name of the object whereas hearing the sounds was more difficult, because for example the different birds wouldn't make that same exact bird sound.",2,The pictures were better matched to the words for the same reason as above.,I heard baby and saw a baby. I heard bowling ball and saw a bowling ball.,"Sometimes the scissor sounds and typing sound sounded the same to me, that was probably most difficult to differentiate. ",I did get four wrong... I don't know the total questions asked... Maybe?,5,Yes,Right,"Spanish, but not fluently",
1/23/13 14:41,TYP1_104,Jerry,18,Male,"No, I did as well as I could.",How well a right-handed vs. left-handed person can react.,Sound trials were harder because some of them sounded slightly similar.,1,"Pictures matched well with the words, but sometimes I would've expected a different sound to come from the picture.",I heard a chainsaw and saw a chainsaw cutting down a tree.,I heard some sort of shuffling and saw scissors. ,"Yes, I am right-handed, and I think I did well because it is easier for right-handed people.",5,Yes,Right,None,The scissor sound was tough to define. I got it wrong the first time because I didn't know what it was.
1/23/13 14:55,TYP1_106,George,19,Female,"No, I did as well as I could.",people will response to sound or word better,"sound, because it is naturally matched",2,to the sound.,i heard the cry and saw baby,i heard the cutting sound and saw secious,sound,4,No,Right,Chinese,
1/23/13 14:56,TYP1_107,Jerry,18,Female,"No, I did as well as I could.",How well people associate words and sounds with objects,I think the sound trials were easier. It was easy to associate a picture with a sound.,1,"Words because stuffed animals, toy cars or baby dolls do not necessarily make noises. ",I hear a bowling ball hitting pins and saw a picture of it.,"I heard multiple correct noises and words, and then I heard one incorrect match and accidentally pressed the wrong button.",sure,4,Yes,Right,none,
1/23/13 15:18,TYP1_107,Elaine,18,Female,"No, I did as well as I could.",Do we tend to react faster to words or to sounds?,word,2,words,cat,"cat,baby",yes,4,No,Right,Chinese,
1/23/13 15:20,TYP1_109,George,18,Female,"No, I did as well as I could.",how quickly we can match sounds to a specific object,sound,2,words. ,i heard a meow and saw a cat,i heard a crinkle noise and saw scissors,i hope so,5,Yes,Right,none,"the scissor noise was confusing to me at first, but after getting it wrong the first time i understood what the sound matched to."
1/23/13 15:23,TYP1_108,Jerry,19,Female,"No, I did as well as I could.",What people's brains react the fastest to. ,The sound trials were easier.,4,"Both matches pretty well, The chainsaw I was a little unsure of the sound.",Bees,Chainsaw,"Hopefully, yes/",4,Yes,Right,none,"The chainsaw would be the only sound I would change.  Otherwise, the lighting in the testing room made my eyes hurt from looking at the computer screen that long, so that could have effected my results."
1/23/13 15:25,TYP1_110,Kramer,20,Female,"No, I did as well as I could.","A person's hand, eye, and thought coordination. ",word trials,1,they were equal,I heard the baby cry and saw a baby's face show up.,I heard the scissors sounds and saw scissors cutting paper.,yes,3,Yes,Right,none,
