name,ROW_ID,cueType,a,a_soundTyp,b,b_soundTyp,c,c_soundTyp,d,d_soundTyp,a_weighted,b_weighted,c_weighted,d_weighted,weighted_zSound
TYS_104,11,sound,0.0,NA,186.00000000000003,1.0299999709999998,216.00000000000003,-0.9599999790000001,0.0,NA,NA,191.579994606,-207.35999546400006,NA,-0.03925373347761206
TYS_104,12,sound,144.00000000000003,1.149999976,0.0,NA,296.0,-0.9599999790000001,414.0,-1.24000001,165.59999654400002,NA,-284.15999378400005,-513.36000414,-0.739953163208431
TYS_104,13,sound,0.0,NA,193.99999999999997,1.0299999709999998,0.0,NA,284.0,-1.24000001,NA,199.81999437399995,NA,-352.16000284,-0.3187029465815901
TYS_104,14,sound,0.0,NA,0.0,NA,0.0,NA,0.0,NA,NA,NA,NA,NA,NA
TYS_104,15,label,300.0,1.149999976,0.0,NA,0.0,NA,578.0,-1.24000001,344.9999928,NA,NA,-716.72000578,-0.423371313189066
TYS_104,16,label,246.00000000000003,1.149999976,178.00000000000003,1.0299999709999998,218.0,-0.9599999790000001,0.0,NA,282.899994096,183.339994838,-209.279995422,NA,0.4002492110778816
TYS_104,17,label,223.99999999999997,1.149999976,196.0,1.0299999709999998,166.0,-0.9599999790000001,0.0,NA,257.599994624,201.87999431599997,-159.35999651400002,NA,0.5121501577235494
TYS_104,18,label,440.0,1.149999976,0.0,NA,174.0,-0.9599999790000001,144.00000000000003,-1.24000001,505.99998944,NA,-167.039996346,-178.56000144000004,0.21160948767018462
TYS_104,19,sound,190.0,1.169999957,0.0,NA,330.0,0.379999995,0.0,NA,222.29999182999998,NA,125.39999834999999,NA,0.6686538272692307
TYS_104,20,sound,0.0,NA,0.0,NA,236.00000000000003,0.379999995,0.0,NA,NA,NA,89.67999882000001,NA,0.379999995
TYS_104,21,sound,512.0,1.169999957,0.0,NA,218.0,0.379999995,0.0,NA,599.039977984,NA,82.83999890999999,NA,0.934082160128767
TYS_104,22,sound,176.00000000000003,1.169999957,140.0,0.8500000240000001,0.0,NA,352.00000000000006,-0.589999974,205.91999243200002,119.00000336000001,NA,-207.67999084800005,0.1755089894371257
TYS_104,23,label,280.0,1.169999957,250.0,0.8500000240000001,0.0,NA,502.0,-0.589999974,327.59998795999996,212.500006,NA,-296.179986948,0.23635659594186045
TYS_104,24,label,162.0,1.169999957,156.0,0.8500000240000001,0.0,NA,434.0,-0.589999974,189.539993034,132.60000374400002,NA,-256.059988716,0.08787235114627659
TYS_104,25,label,0.0,NA,0.0,NA,0.0,NA,234.0,-0.589999974,NA,NA,NA,-138.059993916,-0.589999974
TYS_104,26,label,0.0,NA,0.0,NA,0.0,NA,0.0,NA,NA,NA,NA,NA,NA
TYS_104,27,sound,606.0,1.2799999709999998,234.0,0.939999998,0.0,NA,0.0,NA,775.6799824259999,219.959999532,NA,NA,1.1852856928071427
TYS_104,28,sound,160.0,1.2799999709999998,326.0,0.939999998,162.0,-1.419999957,346.0,-1.6100000140000001,204.79999535999997,306.439999348,-230.039993034,-557.0600048440001,-0.27752515409456757
TYS_104,29,sound,240.0,1.2799999709999998,316.0,0.939999998,115.99999999999999,-1.419999957,0.0,NA,307.19999304,297.039999368,-164.71999501199997,NA,0.6540476151726191
TYS_104,30,sound,0.0,NA,454.0,0.939999998,0.0,NA,0.0,NA,NA,426.759999092,NA,NA,0.939999998
TYS_104,31,label,0.0,NA,0.0,NA,630.0,-1.419999957,366.0,-1.6100000140000001,NA,NA,-894.5999729099999,-589.260005124,-1.4898192550542169
TYS_104,32,label,0.0,NA,333.99999999999994,0.939999998,0.0,NA,550.0,-1.6100000140000001,NA,313.95999933199994,NA,-885.5000077000001,-0.646538471004525
TYS_104,33,label,0.0,NA,0.0,NA,0.0,NA,273.99999999999994,-1.6100000140000001,NA,NA,NA,-441.14000383599995,-1.6100000140000001
TYS_104,34,label,0.0,NA,166.0,0.939999998,200.0,-1.419999957,186.00000000000003,-1.6100000140000001,NA,156.039999668,-283.9999914,-299.46000260400007,-0.7743115839420291
TYS_104,35,sound,244.0,0.7099999790000001,186.00000000000003,-0.079999998,144.00000000000003,-0.639999986,138.0,-1.100000024,173.23999487600003,-14.879999628000002,-92.15999798400001,-151.800003312,-0.12022472759550562
TYS_104,36,sound,150.0,0.7099999790000001,180.0,-0.079999998,220.0,-0.639999986,0.0,NA,106.49999685000002,-14.39999964,-140.79999691999998,NA,-0.08854545401818177
TYS_104,37,sound,0.0,NA,163.99999999999997,-0.079999998,252.0,-0.639999986,176.00000000000003,-1.100000024,NA,-13.119999671999999,-161.279996472,-193.60000422400003,-0.6216216222432432
TYS_104,38,sound,180.0,0.7099999790000001,292.0,-0.079999998,152.0,-0.639999986,314.0,-1.100000024,127.79999622000003,-23.359999416,-97.279997872,-345.40000753600003,-0.360597024098081
TYS_104,39,label,606.0,0.7099999790000001,0.0,NA,140.0,-0.639999986,166.0,-1.100000024,430.2599872740001,NA,-89.59999803999999,-182.600003984,0.1733113873355264
TYS_104,40,label,146.0,0.7099999790000001,0.0,NA,0.0,NA,390.00000000000006,-1.100000024,103.65999693400002,NA,NA,-429.0000093600001,-0.6069776351231344
TYS_104,41,label,174.0,0.7099999790000001,0.0,NA,222.0,-0.639999986,322.0,-1.100000024,123.53999634600002,NA,-142.079996892,-354.200007728,-0.5191365017743732
TYS_104,42,label,158.0,0.7099999790000001,240.0,-0.079999998,0.0,NA,0.0,NA,112.17999668200002,-19.199999520000002,NA,NA,0.23361808332160808
TYS_104,43,sound,218.0,1.2200000290000002,0.0,NA,440.0,0.01,0.0,NA,265.960006322,NA,4.4,NA,0.4108814685744681
