name,ROW_ID,category,cueType,sound_file,block,trialIndex_new,rt,zSound,ordered_sound
TYS_202,53,key,sound,key_sound.wav,2,36,1518.721819,1.324999083800119,a
TYS_202,57,key,label,key_label.wav,4,62,619.7029349999999,1.324999083800119,a
TYS_202,133,key,sound,key_sound.wav,5,93,975.8918879999999,1.324999083800119,a
TYS_202,137,key,label,key_label.wav,6,119,538.020849,1.324999083800119,a
TYS_203,53,key,sound,key_sound.wav,2,35,752.8705,1.324999083800119,a
TYS_203,57,key,label,key_label.wav,4,77,1230.024457,1.324999083800119,a
TYS_203,133,key,sound,key_sound.wav,5,91,1069.160461,1.324999083800119,a
TYS_203,137,key,label,key_label.wav,6,113,1015.1631830000001,1.324999083800119,a
TYS_204,53,key,sound,key_sound.wav,2,40,1247.9412559999998,1.324999083800119,a
TYS_204,57,key,label,key_label.wav,4,62,748.8121390000001,1.324999083800119,a
TYS_204,133,key,sound,key_sound.wav,5,88,1224.722385,1.324999083800119,a
TYS_204,137,key,label,key_label.wav,6,113,639.2359730000001,1.324999083800119,a
TYS_205,53,key,sound,key_sound.wav,2,28,1664.461255,1.324999083800119,a
TYS_205,57,key,label,key_label.wav,4,76,820.652902,1.324999083800119,a
TYS_205,133,key,sound,key_sound.wav,5,84,585.501432,1.324999083800119,a
TYS_205,137,key,label,key_label.wav,6,103,1219.455838,1.324999083800119,a
TYS_104,57,key,label,key_label.wav,2,25,781.620979,1.324999083800119,a
TYS_104,53,key,sound,key_sound.wav,3,60,1436.5574119999999,1.324999083800119,a
TYS_104,137,key,label,key_label.wav,7,129,630.874574,1.324999083800119,a
TYS_104,133,key,sound,key_sound.wav,8,155,459.975719,1.324999083800119,a
TYS_120,57,key,label,key_label.wav,2,24,1196.648359,1.324999083800119,a
TYS_120,53,key,sound,key_sound.wav,3,54,709.2818619999999,1.324999083800119,a
TYS_120,137,key,label,key_label.wav,7,126,1061.108708,1.324999083800119,a
TYS_120,133,key,sound,key_sound.wav,8,145,1019.198418,1.324999083800119,a
TYS_122,57,key,label,key_label.wav,2,29,1957.791567,1.324999083800119,a
TYS_122,53,key,sound,key_sound.wav,3,42,773.6582759999999,1.324999083800119,a
TYS_122,137,key,label,key_label.wav,7,140,2011.2323760000002,1.324999083800119,a
TYS_122,133,key,sound,key_sound.wav,8,141,1301.762581,1.324999083800119,a
TYS_125,57,key,label,key_label.wav,2,29,1444.5233349999999,1.324999083800119,a
TYS_125,53,key,sound,key_sound.wav,3,60,1031.163573,1.324999083800119,a
TYS_125,137,key,label,key_label.wav,7,134,827.892363,1.324999083800119,a
TYS_125,133,key,sound,key_sound.wav,8,155,597.679317,1.324999083800119,a
TYS_206,53,key,sound,key_sound.wav,2,28,1811.8470909999999,1.324999083800119,a
TYS_206,57,key,label,key_label.wav,4,80,1174.914598,1.324999083800119,a
TYS_206,133,key,sound,key_sound.wav,5,82,742.95038,1.324999083800119,a
TYS_206,137,key,label,key_label.wav,6,113,563.1989239999999,1.324999083800119,a
TYS_207,53,key,sound,key_sound.wav,2,40,1681.935549,1.324999083800119,a
TYS_207,57,key,label,key_label.wav,4,80,1496.756077,1.324999083800119,a
TYS_207,133,key,sound,key_sound.wav,5,91,1006.038666,1.324999083800119,a
TYS_207,137,key,label,key_label.wav,6,104,722.253144,1.324999083800119,a
TYS_209,53,key,sound,key_sound.wav,2,35,588.734329,1.324999083800119,a
TYS_209,57,key,label,key_label.wav,4,64,704.813659,1.324999083800119,a
