TYP,SubjectID,Seed,Room,Date,ExpInitials,Compliance,Notes
TYP_v1,TYP1_101,101,Kramer,1/23/13,PME,5,
TYP_v1,TYP1_102,102,George,1/23/13,PME,5,
TYP_v1,TYP1_103,103,Elaine,1/23/13,PME,5,
TYP_v1,TYP1_104,104,Jerry,1/23/13,PME,5,
TYP_v1,TYP1_105,105,Kramer,1/23/13,PME,5,Messed up room entry in the data file (should be Kramer); 105 has a lost survey entry?
TYP_v1,TYP1_106,106,George,1/23/13,PME,5,
TYP_v1,TYP1_107,107,Elaine,1/23/13,PME,5,
TYP_v1,TYP1_108,108,Jerry,1/23/13,PME,5,
TYP_v1,TYP1_109,109,George,1/23/13,PME,5,
TYP_v1,TYP1_110,110,Kramer,1/23/13,PME,5,
TYP_v1,TYP1_111,111,Jerry,1/23/13,PME,5,
TYP_v1,TYP1_112,112,Elaine,1/23/13,PME,5,
TYP_v1,TYP1_113,113,Kramer,1/24/13,AF,5,
TYP_v1,TYP1_114,114,George,1/24/13,AF,5,
TYP_v1,TYP1_115,115,Elaine,1/24/13,AF,4,Slow
TYP_v1,TYP1_116,116,Jerry,1/24/13,AF,5,
TYP_v1,TYP1_117,117,Kramer,1/24/13,AF,5,
TYP_v1,TYP1_118,118,George,1/24/13,AF,5,
TYP_v1,TYP1_119,119,Elaine,1/24/13,AF,5,
TYP_v1,TYP1_120,120,Jerry,1/24/13,AF,5,
TYP_v1,TYP1_121,121,Kramer,1/24/13,AF,5,
TYP_v1,TYP1_122,122,George,1/24/13,AF,5,
TYP_v1,TYP1_123,123,Elaine,1/24/13,AF,5,
TYP_v1,TYP1_124,124,Jerry,1/24/13,AF,5,Computer froze after almost all the trials. Manually start the survey for her.
TYP_v1,TYP1_125,125,Kramer,1/24/13,AF,5,
TYP_v1,TYP1_126,126,George,1/24/13,AF,5,
TYP_v1,TYP1_127,127,Elaine,1/24/13,AF,5,
TYP_v1,TYP1_128,128,Jerry,1/24/13,PME,5,
TYP_v1,TYP1_129,129,Elaine,1/24/13,PME,5,
TYP_v1,TYP1_130,130,George,1/24/13,PME,5,
TYP_v1,TYP1_131,131,Kramer,1/24/13,PME,5,
TYP_v1,TYP1_132,132,Kramer,1/24/13,PME,5,
TYP_v1,TYP1_133,133,George,1/24/13,PME,5,
TYP_v1,TYP1_134,134,Elaine,1/24/13,PME,5,
TYP_v1,TYP1_135,135,Jerry,1/24/13,PME,5,
TYP_v1,TYP1_136,136,Kramer,1/24/13,PME,3,
TYP_v1,TYP1_137,137,George,1/24/13,PME,5,
TYP_v1,TYP1_138,138,Elaine,1/24/13,PME,5,
TYP_v1,TYP1_139,139,,,,,
TYP_v1,TYP1_140,140,Elaine,1/25/13,LKP,5,
TYP_v1,TYP1_141,141,George,1/25/13,LKP,5,
TYP_v1,TYP1_142,142,Jerry,1/25/13,LKP,5,
