TYS,SubjectID,Date,ExpInitials,Glasses,Practice,Real,Break 1,Break 2,Break 3,Break 4,Break 5,Break 6,Break 7,Other Calibrations,Compliance,Notes
TYS_2,TYS_102,4/4/13,PME,No,,,,,,,,,,,5,multiple subject numbers
TYS_2,TYS_110,4/4/13,PME,,,,,,,,,,,,,
TYS_2,TYS_201,4/12/13,PME,No,0.74,,,,,,,,,,,"nice kid, good calibrations, probably stoned."
TYS_2,TYS_202,4/15/13,MP,No,0.55,0.73,0.82,,0.48,,,,,after 6: .76,,good calibrations
TYS_2,TYS_203,4/15/13,MP,No,1.07,1.33,0.86,1.24,2.5,1.37,1.37,1.17,,,,top corners fixations were off-screen: high error numbers throughout.
TYS_2,TYS_204,4/18/13,PME,No,0.83,0.6,0.59,skipped,0.61,skipped,0.81,,,"first block, last block",,very good peripheral vision or something. stared dead center through the whole trial... crazy
TYS_2,TYS_205,4/18/13,PME,No,0.83,0.61,,,,,,,,,,
TYS_2,TYS_206,4/22/13,cpb,No,0.47,0.31,0.62,0.64,0.47,skipped,skipped,0.47,skipped,"after third break, after sixth break",5,good calibrations at first but starting having difficulty fixating after a few blocks--I think he moved in his chair so I had him scoot in closer and it seemed to work better
TYS_2,TYS_207,4/22/13,cpb,No,0.4,0.53,0.74,skipped,skipped,0.49,skipped,skipped,skipped,,5,
TYS_2,TYS_208,4/24/13,cpb,Yes,0.52,0.82,1.32,,,,,,,,5,Didn't get through whole experiment b/c of difficulties with eye tracker--don't think this data is usable.  Subject kept changing posture and blinked a crazy amount.  Had to try calibrating so many times.
TYS_2,TYS_209,4/24/13,cpb,no,0.44,0.48,0.64,skipped,skipped,skipped,0.51,skipped,skipped,at fifth break,5,Forgot to re-enable eye tracker after last participant so I had to restart the exp with new subj code
TYS_2,TYS_210,4/25/13,MP,no,0.55,0.67,0.56,skipped,skipped,skipped,skipped,0.62,skipped,none,5,"Had contacts, very steady fixations and decent calibration error."
TYS_2,TYS_211,4/29/13,MP,no,0.41,0.39,0.47,skipped,0.32,0.48,skipped,skipped,skipped,,5,had to restart from Block 4 because mouse wouldn't click.
TYS_2,TYS_212,5/1/13,cpb,no,0.47,0.61,1.2,0.99,1.2,skipped,skipped,skipped,skipped,none,5,
