"subjCode","seed","trialID","valid_cue","cue_type","pic_version","pic_category","pic_type","pic_id","cue_category","cue_version","pic_file","cue_file","block","whichPart","curTrialIndex","isRight","rt","compliance","age","gender","native","exp","cue_typeC","snd_type","snd_typeC","lbl_type","lbl_typeC","trial_type"
"TYO_v1_101",101,"guitar_sound_A:guitar_electric_1",1,"sound","A","guitar","electric",1,"guitar","A","guitar_electric_1","guitar_sound_A",0,"test",4,1,835.61888471,5,32,"Female","Yes","tyo-rep",0.5,"congruent",0.5,NA,NA,"congruent"
"TYO_v1_101",101,"phone_sound_A:phone_cell_1",1,"sound","A","phone","cell",1,"phone","A","phone_cell_1","phone_sound_A",0,"test",5,1,805.122380261,5,32,"Female","Yes","tyo-rep",0.5,"congruent",0.5,NA,NA,"congruent"
"TYO_v1_101",101,"dog_sound_B:dog_york_1",1,"sound","B","dog","york",1,"dog","B","dog_york_1","dog_sound_B",0,"test",6,1,497.880557086,5,32,"Female","Yes","tyo-rep",0.5,"congruent",0.5,NA,NA,"congruent"
"TYO_v1_101",101,"bird_sound_A:bird_hawk_2",1,"sound","A","bird","hawk",2,"bird","A","bird_hawk_2","bird_sound_A",0,"test",3,1,654.213599104,5,32,"Female","Yes","tyo-rep",0.5,"congruent",0.5,NA,NA,"congruent"
"TYO_v1_101",101,"drum_sound_B:drum_bongo_1",1,"sound","B","drum","bongo",1,"drum","B","drum_bongo_1","drum_sound_B",0,"test",17,1,645.199679187,5,32,"Female","Yes","tyo-rep",0.5,"congruent",0.5,NA,NA,"congruent"
"TYO_v1_101",101,"bird_label_B:bird_song_1",1,"label","B","bird","song",1,"bird","B","bird_song_1","bird_label_B",0,"test",18,1,470.647733426,5,32,"Female","Yes","tyo-rep",-0.5,NA,NA,"male",0.5,"label"
"TYO_v1_101",101,"phone_sound_B:phone_rotary_1",1,"sound","B","phone","rotary",1,"phone","B","phone_rotary_1","phone_sound_B",0,"test",8,1,563.573344494,5,32,"Female","Yes","tyo-rep",0.5,"congruent",0.5,NA,NA,"congruent"
"TYO_v1_101",101,"dog_label_A:dog_rott_1",1,"label","A","dog","rott",1,"dog","A","dog_rott_1","dog_label_A",0,"test",9,1,589.389956847,5,32,"Female","Yes","tyo-rep",-0.5,NA,NA,"female",-0.5,"label"
"TYO_v1_101",101,"motor_label_A:motor_dirt_2",1,"label","A","motor","dirt",2,"motor","A","motor_dirt_2","motor_label_A",0,"test",11,1,851.279873692,5,32,"Female","Yes","tyo-rep",-0.5,NA,NA,"female",-0.5,"label"
"TYO_v1_101",101,"phone_label_B:phone_rotary_2",1,"label","B","phone","rotary",2,"phone","B","phone_rotary_2","phone_label_B",0,"test",12,1,539.109385514,5,32,"Female","Yes","tyo-rep",-0.5,NA,NA,"male",0.5,"label"
